"","ko15","ko16","ko18","ko19","ko21","ko22","wt15","wt16","wt18","wt19","wt21","wt22"
"267.156/3666.49","1463921.08","1238442.43","1151405.92","  24561.89","  24561.89"," 564338.97","1364214.70","1615383.64","  24561.89","  24561.89","  24561.89","  24561.89"
"267.177/3672.75"," 24561.89"," 24561.89"," 24561.89"," 24561.89","536560.99"," 24561.89"," 24561.89"," 24561.89"," 24561.89","728041.89","651345.86","492315.92"
"268.1625/3665.7","306981.48"," 24561.89"," 24561.89"," 24561.89"," 24561.89"," 24561.89","291569.81","323812.57","208591.49"," 24561.89"," 24561.89"," 24561.89"
"268.2/3883.23"," 24561.89"," 24561.89","272955.02"," 24561.89"," 24561.89"," 86353.80"," 24561.89","466306.59","207039.05","191819.34","115472.77"," 24561.89"
"269.148/3878.54"," 666924.55","1237451.67","  24561.89","  24561.89"," 499613.30","  24561.89"," 464563.23","  24561.89","  24561.89","  24561.89","  24561.89"," 392467.62"
"269.1985/3882.45","  24561.89","  24561.89","  24561.89","  24561.89","  24561.89","  24561.89","  24561.89","2276576.58"," 784441.77"," 620319.01"," 556389.85","  24561.89"
"273.2/3678.22"," 24561.89"," 24561.89"," 24561.89"," 24561.89"," 24561.89"," 24561.89"," 55768.11","175747.52"," 98732.35"," 24561.89"," 24561.89"," 24561.89"
"279.011/2790.89","16540436.17","12335891.69","14683487.66"," 9660238.21","11775210.24","10293898.28","18747984.37","12952090.24","   24561.89","   24561.89","   24561.89","11984043.84"
"280.013/2787.77","2942032.96","2199151.68","2579250.43","1711820.03","2118031.59","  24561.89","  24561.89","  24561.89","  24561.89","1865185.36","  24561.89","2114477.76"
"280.04/2791.68","  24561.89","  24561.89","  24561.89","  24561.89","  24561.89","1824953.98","3302721.35","2292925.32","  24561.89","  24561.89","1991723.91","  24561.89"
"281.0275/2790.11","403697.76"," 24561.89","364608.31"," 24561.89","300199.86"," 24561.89"," 24561.89"," 24561.89"," 24561.89"," 24561.89"," 24561.89","295382.79"
"281.073/2793.24"," 24561.89"," 24561.89"," 24561.89"," 24561.89"," 24561.89"," 24561.89","476559.34","315518.09","286027.48"," 24561.89","283748.91"," 24561.89"
"281.2/3668.83","2772936.70","2553705.35","  24561.89","1521876.40","1061126.82","1272520.88","2219966.33","3271118.07","2267969.69","1798533.40","1370601.44","1189252.72"
"282.179/3664.14","695800.82"," 24561.89","601572.42"," 24561.89"," 24561.89","305437.26","540116.71"," 24561.89","534836.41"," 24561.89"," 24561.89"," 24561.89"
"282.184/3471.65"," 24561.89"," 24561.89"," 24561.89"," 24561.89"," 24561.89"," 24561.89"," 24561.89","863350.16"," 24561.89","419170.93","547837.99"," 24561.89"
"283.2/3878.54"," 414367.55"," 880917.95","1102490.17"," 485863.61","  24561.89"," 479697.69","  24561.89","2341040.00"," 806746.59"," 671217.81"," 573786.61","  24561.89"
"284.1/2718.91","733321.8","939243.9","650687.0","550520.8","432174.1","524801.3","878794.6","779270.2","573395.6","577530.2","400051.3","576682.2"
"284.2/3679.79"," 715122.06","4301240.32","  24561.89"," 177969.80","  24561.89","  24561.89"," 594958.90"," 712510.78","  24561.89","  24561.89","  24561.89","  24561.89"
"286.183/3261.16","1557473.40","1463433.93","  24561.89","  24561.89","  24561.89"," 894860.38","  24561.89","  24561.89","1305651.24","  24561.89","1153278.57","1195802.42"
"287.144/3254.12","381592.92","383820.56"," 24561.89"," 24561.89"," 24561.89"," 24561.89","471955.26","357491.39"," 24561.89","302366.61"," 24561.89"," 24561.89"
"288.113/2794.03"," 233984.23"," 295667.57"," 323173.55","  24561.89","  24561.89","  24561.89"," 988202.95","  24561.89","  24561.89","  24561.89","  24561.89","1734884.89"
"289.13/3111.71","306747.83"," 24561.89","240938.01","206526.45"," 24561.89","230682.63"," 24561.89"," 24561.89","225114.30"," 24561.89"," 24561.89"," 24561.89"
"294.112/2582.76","24561.89","71533.46","54070.16","57688.55","24561.89","64823.25","24561.89","76577.43","24561.89","24561.89","24561.89","24561.89"
"296.073/2726.73"," 24561.89"," 24561.89","172459.05"," 24561.89"," 24561.89"," 84544.56","180084.75"," 24561.89","149853.35"," 24561.89"," 86857.50"," 24561.89"
"296.102/2726.73","136683.81"," 24561.89"," 24561.89","134822.01"," 84668.49"," 24561.89"," 24561.89","102759.46"," 24561.89","126363.65"," 24561.89"," 96876.32"
"298.152/3179","180780.82"," 24561.89"," 24561.89","190626.85"," 24561.89","220288.62"," 24561.89"," 24561.89"," 24561.89"," 24561.89"," 24561.89"," 24561.89"
"300.189/3391.84","4534353.62","  24561.89","5290739.14","  24561.89","4733236.08","3931592.59"," 349660.89"," 491793.18"," 645526.70","  24561.89","1438254.45","1364627.84"
"301/2791.68","2739847","1732888","2330865","1185810","1908463","1339885","2844473","1716199","1636414","1250314","1576059","1336836"
"301.1885/3388.71"," 962353.43","1047934.14","1109303.04"," 946943.39"," 984787.20"," 806171.47","  24561.89","  24561.89","  24561.89","  24561.89","  24561.89","  24561.89"
"302.0015/2623.44","643996.2","790351.6","444524.0","385833.8","399591.8","454476.3","667080.7","653312.4","343121.4","327247.2","424152.2","504934.2"
"302.003/2792.46","494305.84","319649.89","450510.29"," 24561.89","350811.97","251603.27","525006.30","305139.01","301177.07"," 24561.89"," 24561.89","263387.93"
"304.1/2923.92","1948205.60","1198308.82","1243865.55","1045968.57","1419171.78","1626956.84","1675019.51","1672881.47","1125530.49","  24561.89","  24561.89","1501736.01"
"305.1/3502.95"," 557848.32"," 990038.13","1523254.27"," 748182.72"," 643288.35"," 635215.27","1196708.95","1030918.11","  24561.89","  24561.89","  24561.89"," 585316.92"
"305.1/2927.83"," 994373.8"," 888256.4","1063314.7","1096130.2","1246073.7","1214950.0","1681341.9","1149447.6"," 810315.7"," 859584.5","2251478.2","1721307.3"
"306.11/3501.38","125473.85","218249.83"," 24561.89","159274.08","153809.55"," 24561.89","266504.79","212509.62"," 24561.89"," 24561.89"," 24561.89"," 24561.89"
"306.1/2928.61","215368.06","409645.01","246498.78","247480.01","265343.09"," 24561.89","362282.19"," 24561.89","193570.52"," 24561.89","467150.93","374561.39"
"306.9965/2628.14"," 24561.89","420085.79"," 24561.89"," 24561.89","197855.36"," 24561.89","338093.36"," 24561.89","184048.87"," 24561.89","184966.14","181595.76"
"308.113/3261.95"," 312927.86","1931395.44","  24561.89","  24561.89","  24561.89","  24561.89"," 209238.89"," 355568.00","  24561.89"," 121584.98"," 247134.92"," 123431.55"
"308.14/3258.82"," 24561.89"," 24561.89","246074.48","237549.18","146735.96","114054.48"," 24561.89"," 24561.89"," 24561.89"," 24561.89"," 24561.89"," 24561.89"
"309.1/2923.92","820897.84"," 24561.89","490685.20","258387.33","570486.87"," 24561.89","655900.74","535264.54","450819.84","323317.10","621911.13"," 24561.89"
"309.2/3671.18","474829.72","357127.85","375113.82"," 24561.89"," 83873.04"," 24561.89","406958.04","499268.32","311566.80"," 24561.89","144582.60"," 24561.89"
"310.187/3628.15","192388.21","467218.23","197712.64"," 24561.89"," 24561.89"," 24561.89"," 24561.89"," 24561.89"," 24561.89"," 24561.89"," 24561.89"," 24561.89"
"310.2/3639.88","224688.46","232015.95","160971.41"," 24561.89","131799.35","128400.29","272303.46","392738.36"," 24561.89"," 24561.89"," 24561.89"," 24561.89"
"312.1/2997.47","293193.91","263174.51","296169.42"," 24561.89","243862.62","264121.31","241411.91","288181.93","230302.35","149743.81","192635.85","211505.77"
"312.205/3866.02","219733.40","458436.96","176647.37"," 24561.89"," 24561.89"," 24561.89"," 24561.89"," 24561.89"," 24561.89"," 24561.89"," 24561.89"," 24561.89"
"313/2787.76","1704155.43","6856948.35"," 897619.33","1642799.37"," 806366.75","  24561.89"," 915830.65","4877627.96","7685168.98","4134979.78","4114991.64"," 760122.82"
"313.179/3289.33","  24561.89","1075844.98","  24561.89","  24561.89","  24561.89"," 469316.76","1230795.81","1269568.82","  24561.89"," 564428.00"," 509199.45","  24561.89"
"314/2787.76"," 388253.14","1499485.01"," 171070.66"," 390983.01"," 178926.45","  24561.89"," 165809.82","1015506.87","1678104.70","  24561.89"," 823072.93","  24561.89"
"315/2520.94","  24561.89","  24561.89","3525288.08","5071743.22","3617315.62"," 723199.47","  24561.89","  24561.89","4208773.83","2914424.79","5453768.79","1544977.30"
"316/2520.94","  24561.89","  24561.89"," 719323.36","1097369.93"," 795085.55"," 179512.96","  24561.89","  24561.89"," 883721.25"," 636243.20","1163245.11"," 380126.45"
"317/2789.33","554864.61","154072.68","355561.34"," 24561.89"," 24561.89","109807.66","623123.97","204779.97","285929.72"," 24561.89"," 24561.89"," 24561.89"
"318.112/3247.86"," 24561.89"," 24561.89"," 99212.97","127139.67"," 24561.89"," 24561.89"," 24561.89"," 24561.89"," 90519.60"," 98147.55"," 24561.89","147843.71"
"321.153/3663.36","297015.32"," 24561.89"," 24561.89"," 24561.89"," 24561.89"," 24561.89"," 24561.89","422866.37","293428.12","200103.61"," 24561.89"," 24561.89"
"322.117/3387.14"," 24561.89","272654.01","378948.17","273593.95"," 24561.89"," 24561.89"," 24561.89"," 24561.89"," 24561.89"," 24561.89"," 24561.89"," 24561.89"
"322.118/3502.95","  24561.89","1058978.48","1722624.65","  24561.89","  24561.89"," 937782.19","  24561.89","  24561.89","  24561.89","  24561.89","  24561.89","  24561.89"
"322.151/3507.64","  24561.89","  24561.89","  24561.89","1324834.36"," 650881.48","  24561.89","  24561.89","1450700.37","  24561.89","  24561.89"," 536634.54"," 904041.93"
"323.15/3496.69","158127.92"," 24561.89"," 24561.89","307340.01"," 24561.89","230601.26"," 24561.89"," 24561.89"," 24561.89"," 24561.89"," 24561.89"," 24561.89"
"323.175/3507.64"," 24561.89"," 24561.89"," 24561.89"," 24561.89"," 24561.89"," 24561.89"," 24561.89","330337.86","354443.36"," 24561.89","136403.94"," 24561.89"
"324.088/2793.24"," 24561.89","284679.76","341633.14"," 24561.89","264128.20","283695.32"," 24561.89"," 24561.89"," 24561.89","224206.89"," 24561.89","303097.27"
"324.1/2791.68","339832.02"," 24561.89"," 24561.89"," 24561.89"," 24561.89"," 24561.89","455424.62","379752.33","303409.43"," 24561.89"," 24561.89"," 24561.89"
"324.1585/3274.47"," 24561.89"," 24561.89","186860.98","162564.38","148367.96","182694.97"," 24561.89"," 24561.89"," 24561.89"," 24561.89"," 24561.89"," 24561.89"
"326.2/3419.22","4809521.45","3931304.63","2913711.55","2819100.93","3284987.28","4346409.70"," 259229.27"," 314154.32","  24561.89"," 200939.74"," 247976.86","  24561.89"
"327.1/3504.51"," 24561.89","275564.81","465617.92","263114.60"," 24561.89","202417.74","356507.68","296447.43","416275.22"," 24561.89"," 24561.89","184970.52"
"327.2/3419.22","1108851.28"," 950126.53"," 674222.71","  24561.89","  24561.89","1013977.91","  24561.89","  24561.89","  24561.89","  24561.89","  24561.89","  24561.89"
"328.2/3632.84","6463382.9","5630552.4","4398403.5","3085430.4","3289888.0","2626186.4"," 402409.0"," 573880.8"," 403748.6"," 412858.2"," 385802.4"," 297208.5"
"329.105/3499.82"," 24561.89","367926.80","409585.09","291867.38","259407.68","211961.17","432441.76","481405.64","382402.71","227057.79","187019.35"," 24561.89"
"329.2/3626.58","1521141.36","1315446.89"," 990625.77"," 707798.72"," 759301.22"," 605854.74"," 114347.57","  24561.89","  24561.89","  24561.89","  24561.89","  24561.89"
"330.213/3631.27","201588.70","167042.48"," 24561.89"," 24561.89"," 92547.86"," 24561.89"," 24561.89"," 24561.89"," 24561.89"," 24561.89"," 24561.89"," 24561.89"
"331.118/3485.73","466357.16","279891.29"," 24561.89","372786.98"," 24561.89"," 24561.89"," 24561.89"," 24561.89"," 24561.89"," 24561.89"," 24561.89"," 24561.89"
"331.146/3484.17"," 24561.89","490815.30","284019.33"," 24561.89","320962.88","307401.05","839861.30","316978.81","511949.52"," 24561.89"," 24561.89"," 24561.89"
"331.1785/3496.69"," 24561.89"," 24561.89","438999.40"," 24561.89"," 24561.89"," 24561.89"," 24561.89","402078.23"," 24561.89","414769.75"," 24561.89","388149.20"
"332/2520.16","  24561.89","  24561.89","4658831.11","7614619.50","4486091.85","1136008.96","  24561.89","  24561.89","5672069.08","4752615.70","7203558.87","2631198.28"
"333/2523.29","  24561.89","  24561.89"," 927289.22","1587224.13"," 933164.79","  24561.89","  24561.89","  24561.89","1187460.47"," 947074.13","1580626.58"," 544591.99"
"334.021/2517.03"," 24561.89"," 24561.89","208246.33","345968.56","259924.86"," 49142.17"," 24561.89"," 24561.89"," 24561.89","203024.94"," 24561.89"," 24561.89"
"335/2786.2"," 382769.56","1344842.91"," 190478.18"," 255464.74"," 163243.31","  24561.89","  24561.89"," 843755.31","1435113.40"," 591752.31"," 763566.36","  24561.89"
"336/2786.2"," 73353.49","294165.22"," 24561.89"," 24561.89"," 24561.89"," 24561.89"," 24561.89","187153.93","317781.23","144038.60"," 24561.89"," 24561.89"
"337/2520.16","  24561.89","  24561.89","4073677.53","4153687.18","4365319.81","1023976.58","  24561.89","  24561.89","4694316.95","2645818.72","6391595.60","1862776.41"
"338/2515.46","  24561.89","  24561.89"," 795295.07"," 868056.23"," 870134.05"," 218742.59","  24561.89","  24561.89"," 937418.30"," 557510.15","1164693.07"," 381923.00"
"338.1/3022.51","396319.79","441040.47","411133.58","212310.15","341346.32","356067.78","364577.28","358070.43","360865.91","214432.22"," 24561.89","556986.68"
"338.2/3668.83","614212.5","605655.0","622113.9","335737.5","364966.7","356312.8","557322.1","641973.1","476072.6","342120.3","339368.2","328142.9"
"338.201/3838.63"," 24561.89","711015.49","244913.81","154551.07"," 24561.89"," 24561.89"," 24561.89","408664.10","254368.11"," 24561.89","420930.15"," 24561.89"
"339.187/3322.98","  24561.89","3533684.35","3243829.36","2482697.10","2321804.12","2311412.82","3467091.65","  24561.89","3301294.56","  24561.89","2415701.40","2138854.68"
"343/2686.04","20269361.92","21948623.14","17930719.64","15378115.29","15793756.46","17800198.05","22065406.83","17773756.46","   24561.89","13440374.57","15108077.33","18737045.90"
"344/2684.48","4426345","4808488","3954887","3374426","3500475","3862062","4933535","4528605","3276619","2910183","3298613","4092028"
"344.135/2897.31"," 24561.89"," 24561.89","669103.34","621011.55"," 24561.89","475386.24"," 24561.89","706044.22"," 24561.89"," 24561.89"," 24561.89","532428.83"
"345.0135/2686.04","703795.38","744691.64","602322.94","508404.36","553315.80","600422.53","763241.95","611646.44"," 24561.89"," 24561.89","524993.43","644033.32"
"346.108/3496.69","732502.02","890001.42","917425.21","952137.45"," 24561.89","562731.60"," 24561.89"," 24561.89"," 24561.89"," 24561.89"," 24561.89","466886.45"
"346.1525/3499.04"," 24561.89"," 24561.89"," 24561.89"," 24561.89","472769.83"," 24561.89","994786.16"," 24561.89"," 24561.89","751993.20","355132.54"," 24561.89"
"347.119/3496.69","202822.16"," 24561.89","240054.65"," 24561.89"," 24561.89","150277.45","271151.10","381682.12"," 24561.89"," 24561.89"," 24561.89","131434.96"
"347.155/3501.38"," 24561.89","236859.62"," 24561.89"," 24561.89","134452.88"," 24561.89"," 24561.89"," 24561.89","238818.79","207879.78","101642.09"," 24561.89"
"348.142/3490.43","221323.83","324908.66","204324.22","187851.59"," 24561.89"," 24561.89"," 24561.89"," 24561.89","150425.59"," 24561.89"," 24561.89"," 24561.89"
"348.164/3284.64","165830.90","183665.01"," 24561.89","134637.12"," 24561.89","167008.05"," 24561.89"," 24561.89"," 24561.89"," 24561.89"," 24561.89"," 24561.89"
"348.183/3499.82","456678.25"," 24561.89"," 24561.89"," 24561.89"," 24561.89","140879.93","284864.72","223959.33"," 24561.89","215002.22","121967.76","176025.28"
"349.112/3421.57","146310.30"," 24561.89"," 24561.89"," 24561.89","110555.89","114025.20"," 24561.89"," 24561.89"," 24561.89"," 24561.89"," 24561.89"," 24561.89"
"350.18/3657.88","282937.26"," 24561.89"," 24561.89"," 24561.89"," 24561.89"," 24561.89"," 24561.89","316760.70","175073.79","113665.26"," 24561.89"," 24561.89"
"351.123/3500.6","185786.69"," 24561.89"," 24561.89"," 24561.89","120076.85","105565.09"," 24561.89"," 24561.89","205668.51"," 24561.89"," 88486.82"," 66543.80"
"352.1/2792.46","265882.99","181651.11","227777.57"," 24561.89"," 24561.89"," 24561.89","269970.65","204617.52","251136.40"," 24561.89","146512.80"," 24561.89"
"353.132/3496.69","223895.04","261258.57"," 24561.89","124798.50","128120.89","106673.07"," 24561.89"," 24561.89"," 24561.89","127073.73","114163.62"," 24561.89"
"354.2/3616.41","1135610.95"," 904522.36"," 832780.32"," 532867.71"," 570306.90"," 729939.97"," 112167.16"," 154475.67","  24561.89","  24561.89","  24561.89","  24561.89"
"355.192/3614.06","334039.86","257216.86","222655.68","126090.44"," 24561.89"," 24561.89"," 24561.89"," 24561.89"," 24561.89","131022.09"," 24561.89"," 24561.89"
"356.2/3834.72","1189376.08","2242782.41","1535138.25"," 932580.31","1206594.76"," 823710.05"," 181130.14"," 521478.34"," 258986.27"," 237846.96","  24561.89"," 246931.90"
"357.203/3832.37","328565.95","567776.99","391437.16","254805.16"," 24561.89","218120.80"," 24561.89","148383.91"," 24561.89"," 24561.89"," 24561.89"," 24561.89"
"359.2/3722.82","462141.4","616424.6","407618.3","285184.5","437009.2","413134.3","370926.0","771634.2","272933.1","446149.1","382811.8","521506.3"
"360.0155/2690.74","   24561.89","10851568.51"," 8797145.08"," 8702183.13"," 7372829.20","   24561.89","   24561.89"," 9496878.38","   24561.89","   24561.89","   24561.89"," 9956697.09"
"361/2687.61","  24561.89","2560830.27","2364088.73","2322160.14","  24561.89","  24561.89","  24561.89","  24561.89","  24561.89","  24561.89","  24561.89","  24561.89"
"361.054/2690.74","2206508.13","  24561.89","  24561.89","  24561.89","  24561.89","2088472.47","2461531.84","2144658.74","1938517.95","  24561.89","1753050.84","2204020.81"
"361.116/3169.61","  24561.89","1498158.49","1046203.53","  24561.89"," 690755.29","  24561.89","  24561.89","  24561.89","  24561.89","  24561.89","  24561.89","  24561.89"
"361.138/3160.22","1170645.20","  24561.89","  24561.89"," 737098.29","  24561.89","  24561.89","1152980.04","1279489.62","  24561.89","  24561.89","  24561.89"," 648550.70"
"361.1755/3170.4"," 24561.89"," 24561.89"," 24561.89"," 24561.89"," 24561.89","687633.82"," 24561.89"," 24561.89","974223.55","778375.53","696882.69"," 24561.89"
"362.0585/2690.74","770409.32"," 24561.89"," 24561.89"," 24561.89","600784.37","605451.08"," 24561.89"," 24561.89","491933.70"," 24561.89"," 24561.89"," 24561.89"
"362.086/2686.82"," 24561.89","934352.60"," 24561.89"," 24561.89"," 24561.89"," 24561.89","704809.47"," 24561.89"," 24561.89","514541.88","568139.95"," 24561.89"
"362.125/3169.61","312079.20"," 24561.89"," 24561.89"," 24561.89"," 24561.89","244520.05","292404.16","364509.21","296741.99","251609.31"," 24561.89","217405.33"
"363.137/3258.82"," 24561.89","390905.07","306254.46","189293.22","178701.91"," 24561.89"," 24561.89"," 24561.89"," 24561.89","208853.85"," 24561.89"," 24561.89"
"363.19/3265.07"," 24561.89"," 24561.89"," 24561.89"," 24561.89"," 24561.89"," 24561.89","430759.59","485668.15"," 24561.89"," 24561.89","184987.70"," 24561.89"
"364.2/3725.95"," 24561.89","233404.08","217897.20"," 24561.89","187667.24","160307.88","371077.15","308697.82","155474.92","125466.05"," 24561.89"," 24561.89"
"365/2687.61","12540962","13086927","11725805"," 7176350"," 9905616"," 8655443","13169758","10032806"," 8963502"," 6327210"," 8737741"," 8426677"
"365.1785/3392.62"," 24561.89"," 24561.89","358265.57"," 24561.89"," 24561.89"," 24561.89","381820.10","455203.60","317859.04","218376.89","178224.85"," 24561.89"
"366/2687.61","2864112","2952706","2484968","1546877","2118036","1929729","2914143","2259649","2003961","1404628","1879525","1802966"
"366.1/2792.46","652282.58","553363.19","747021.66","818030.94","942350.70","771053.99","722235.73"," 24561.89"," 24561.89"," 24561.89","810665.23","884880.73"
"366.141/2794.02"," 24561.89"," 24561.89"," 24561.89"," 24561.89"," 24561.89"," 24561.89"," 24561.89","532891.18","702447.95","868236.68"," 24561.89"," 24561.89"
"366.202/3846.46"," 24561.89"," 24561.89","416711.84","278174.09","281201.17","231209.97"," 24561.89"," 24561.89"," 24561.89","318069.29"," 24561.89","249253.40"
"367.2/3529.55","2734571","2693665","2455930","1617637","1607496","1598232","2784615","3238646","2423942","1712150","1657051","1517655"
"368.2/3530.33","841651.1","730786.3","636622.7","457324.6","441341.2","438156.5","866902.6","887056.3","637453.7","466717.0","436644.2","401560.0"
"371.195/3637.53","501808.20","378297.50","196485.04"," 24561.89"," 24561.89"," 24561.89","529104.59","342909.70"," 24561.89"," 24561.89"," 24561.89"," 24561.89"
"372.2/3276.03","  24561.89","5201100.80","3894763.17","3037266.14","2934672.46","2365565.98","  24561.89","3457744.21","3646832.88","3227975.37","3285567.89","2606604.10"
"373.1905/3253.34"," 24561.89"," 24561.89"," 24561.89","739726.51","703978.48","575113.41"," 24561.89"," 24561.89"," 24561.89","789026.46","825939.57","663425.67"
"376.187/3452.09","185802.72","178779.59"," 24561.89"," 95461.79"," 24561.89"," 88793.55"," 24561.89"," 24561.89"," 24561.89"," 24561.89"," 24561.89"," 24561.89"
"376.2/3722.04","162499.44","219938.41"," 24561.89","131973.33","141468.11"," 24561.89"," 24561.89","322572.68"," 24561.89","165280.88","122884.36","193350.13"
"377.0385/3070.24"," 94719.83","125213.21"," 24561.89"," 24561.89"," 24561.89"," 66383.24"," 92796.51"," 24561.89"," 24561.89"," 24561.89"," 24561.89"," 24561.89"
"379.129/3333.93"," 606273.86","1073198.75","  24561.89","  24561.89","1075704.38","1466693.71"," 798946.39","  24561.89","1171788.15","  24561.89"," 740580.85","  24561.89"
"380.1/3155.53","  24561.89","1911798.73","1717570.35","1756725.23","1765811.49","2609852.53","1074832.19","1434540.75","1563407.46","1610769.03","1355144.26","2022633.25"
"381/2684.48","1822015.04","1040975.85","1053454.83","  24561.89","  24561.89","  24561.89","1853495.08"," 759658.19","1313396.05","  24561.89","  24561.89","  24561.89"
"381.105/3154.75"," 24561.89","412013.02","365480.26","390842.16","371351.68","398323.59"," 24561.89","314270.58","343710.96","333494.98","302289.93","445468.65"
"382.1035/3248.64","  24561.89","1242416.71","1084915.22"," 944606.18"," 846849.94","1212011.09"," 544489.26","1016638.70","  24561.89","  24561.89","  24561.89"," 881742.63"
"382.2/3787.77","710639.90","580437.41","433480.22"," 24561.89","317220.06"," 24561.89","102300.92"," 24561.89"," 24561.89"," 24561.89"," 24561.89"," 24561.89"
"384.2305/3984.17","1085362.52"," 637047.82","1532283.79","  24561.89","  24561.89","  24561.89"," 196445.91","  24561.89","  24561.89","  24561.89","  24561.89","  24561.89"
"385.138/3179","1137379.06","  24561.89","  24561.89"," 903258.90"," 877203.97"," 760969.05","  24561.89","1413865.62","  24561.89"," 896498.30"," 808884.32","  24561.89"
"386.115/3179"," 24561.89","269560.62","312436.48"," 24561.89"," 24561.89"," 24561.89","345949.41","397554.79"," 24561.89"," 24561.89"," 24561.89","242389.55"
"386.1555/3170.4","325325.43"," 24561.89"," 24561.89","275222.64"," 24561.89","221569.39"," 24561.89"," 24561.89"," 24561.89","243353.23"," 24561.89"," 24561.89"
"388.1/2681.35"," 24561.89","573448.72"," 24561.89"," 24561.89"," 24561.89","260421.33","702064.68","927688.11","606807.80"," 24561.89"," 24561.89","364109.16"
"389.1965/3355.84","  24561.89","1140158.59","1008373.97","  24561.89"," 659322.26"," 724902.05","1231191.86","1357790.25"," 959959.11"," 677888.86"," 648895.56"," 642441.71"
"390.1925/3355.84","348186.26","335515.30","282058.76","188020.92"," 24561.89","216997.53"," 24561.89","389364.85","279306.02","203101.08","194945.82","193556.44"
"391.114/3628.93","  24561.89","7039984.59","4933377.64","2162710.82","2159509.09","  24561.89","  24561.89","5176181.16","  24561.89","  24561.89","  24561.89","4596621.22"
