"","ko15","ko16","ko18","ko19","ko21","ko22","wt15","wt16","wt18","wt19","wt21","wt22"
"355.192/3614.06","334039.86","257216.862","222655.68","126090.44",NA,NA,NA,NA,NA,"131022.089",NA,NA
"356.2/3834.72","1189376.085","2242782.412","1535138.251","932580.306","1206594.765","823710.047","181130.138","521478.345","258986.27","237846.961",NA,"246931.896"
"357.203/3832.37","328565.947","567776.99","391437.155","254805.159",NA,"218120.799",NA,"148383.91",NA,NA,NA,NA
"359.2/3722.82","462141.393","616424.641","407618.335","285184.521","437009.158","413134.28","370926.014","771634.2","272933.081","446149.144","382811.809","521506.296"
"360.0155/2690.74",NA,"10851568.505","8797145.083","8702183.131","7372829.199",NA,NA,"9496878.382",NA,NA,NA,"9956697.085"
"361/2687.61",NA,"2560830.274","2364088.726","2322160.139",NA,NA,NA,NA,NA,NA,NA,NA
"361.054/2690.74","2206508.131",NA,NA,NA,NA,"2088472.472","2461531.844","2144658.743","1938517.95",NA,"1753050.839","2204020.809"
"361.116/3169.61",NA,"1498158.487","1046203.531",NA,"690755.287",NA,NA,NA,NA,NA,NA,NA
"361.138/3160.22","1170645.198",NA,NA,"737098.286",NA,NA,"1152980.042","1279489.622",NA,NA,NA,"648550.696"
"361.1755/3170.4",NA,NA,NA,NA,NA,"687633.816",NA,NA,"974223.546","778375.527","696882.685",NA
"362.0585/2690.74","770409.316",NA,NA,NA,"600784.374","605451.08",NA,NA,"491933.697",NA,NA,NA
"362.086/2686.82",NA,"934352.596",NA,NA,NA,NA,"704809.469",NA,NA,"514541.882","568139.948",NA
"362.125/3169.61","312079.199",NA,NA,NA,NA,"244520.045","292404.156","364509.213","296741.986","251609.306",NA,"217405.325"
"363.137/3258.82",NA,"390905.073","306254.455","189293.222","178701.912",NA,NA,NA,NA,"208853.85",NA,NA
"363.19/3265.07",NA,NA,NA,NA,NA,NA,"430759.588","485668.148",NA,NA,"184987.695",NA
"364.2/3725.95",NA,"233404.075","217897.203",NA,"187667.239","160307.879","371077.15","308697.815","155474.925","125466.05",NA,NA
"365/2687.61","12540961.989","13086927.332","11725804.629","7176350.082","9905615.661","8655442.522","13169757.888","10032806.135","8963502.493","6327210.044","8737740.732","8426676.801"
"365.1785/3392.62",NA,NA,"358265.568",NA,NA,NA,"381820.099","455203.598","317859.043","218376.887","178224.848",NA
"366/2687.61","2864111.74","2952706.017","2484968.458","1546876.715","2118036.49","1929729.097","2914143.21","2259649.11","2003961.264","1404628.312","1879524.967","1802965.953"
"366.1/2792.46","652282.583","553363.19","747021.663","818030.943","942350.697","771053.995","722235.73",NA,NA,NA,"810665.234","884880.735"
"366.141/2794.02",NA,NA,NA,NA,NA,NA,NA,"532891.183","702447.949","868236.678",NA,NA
"366.202/3846.46",NA,NA,"416711.842","278174.09","281201.171","231209.97",NA,NA,NA,"318069.293",NA,"249253.396"
"367.2/3529.55","2734570.633","2693665.498","2455930.088","1617637.175","1607496.27","1598231.739","2784614.706","3238645.758","2423942.377","1712150.072","1657051.083","1517655.359"
"368.2/3530.33","841651.138","730786.342","636622.748","457324.644","441341.213","438156.527","866902.619","887056.302","637453.74","466716.983","436644.228","401560.019"
"371.195/3637.53","501808.198","378297.504","196485.035",NA,NA,NA,"529104.587","342909.702",NA,NA,NA,NA
"372.2/3276.03",NA,"5201100.804","3894763.174","3037266.136","2934672.465","2365565.977",NA,"3457744.207","3646832.885","3227975.365","3285567.892","2606604.102"
"373.1905/3253.34",NA,NA,NA,"739726.507","703978.477","575113.41",NA,NA,NA,"789026.459","825939.566","663425.668"
"376.187/3452.09","185802.724","178779.587",NA,"95461.789",NA,"88793.549",NA,NA,NA,NA,NA,NA
"376.2/3722.04","162499.44","219938.408",NA,"131973.33","141468.112",NA,NA,"322572.68",NA,"165280.881","122884.362","193350.134"
"377.0385/3070.24","94719.827","125213.214",NA,NA,NA,"66383.24","92796.511",NA,NA,NA,NA,NA
"379.129/3333.93","606273.861","1073198.75",NA,NA,"1075704.376","1466693.713","798946.392",NA,"1171788.146",NA,"740580.85",NA
"380.1/3155.53",NA,"1911798.731","1717570.346","1756725.233","1765811.493","2609852.528","1074832.193","1434540.754","1563407.46","1610769.027","1355144.264","2022633.252"
"381/2684.48","1822015.037","1040975.853","1053454.832",NA,NA,NA,"1853495.08","759658.188","1313396.047",NA,NA,NA
"381.105/3154.75",NA,"412013.018","365480.255","390842.162","371351.68","398323.594",NA,"314270.578","343710.955","333494.979","302289.929","445468.649"
"382.1035/3248.64",NA,"1242416.706","1084915.218","944606.183","846849.935","1212011.093","544489.262","1016638.705",NA,NA,NA,"881742.632"
"382.2/3787.77","710639.895","580437.414","433480.221",NA,"317220.06",NA,"102300.92",NA,NA,NA,NA,NA
"384.2305/3984.17","1085362.525","637047.82","1532283.787",NA,NA,NA,"196445.911",NA,NA,NA,NA,NA
"385.138/3179","1137379.056",NA,NA,"903258.9","877203.971","760969.05",NA,"1413865.618",NA,"896498.296","808884.316",NA
"386.115/3179",NA,"269560.619","312436.483",NA,NA,NA,"345949.412","397554.793",NA,NA,NA,"242389.55"
"386.1555/3170.4","325325.431",NA,NA,"275222.644",NA,"221569.394",NA,NA,NA,"243353.225",NA,NA
"388.1/2681.35",NA,"573448.716",NA,NA,NA,"260421.327","702064.676","927688.106","606807.798",NA,NA,"364109.161"
"389.1965/3355.84",NA,"1140158.589","1008373.968",NA,"659322.263","724902.054","1231191.857","1357790.245","959959.109","677888.858","648895.563","642441.709"
"390.1925/3355.84","348186.255","335515.3","282058.763","188020.918",NA,"216997.532",NA,"389364.847","279306.016","203101.085","194945.821","193556.44"
"391.114/3628.93",NA,"7039984.595","4933377.643","2162710.822","2159509.09",NA,NA,"5176181.16",NA,NA,NA,"4596621.218"
"391.141/3623.45","6899364.312",NA,NA,NA,NA,"3583241.21","9246372.59",NA,"5942055.08",NA,"2644093.464",NA
"392.114/3628.14",NA,"1878963.448",NA,NA,NA,NA,"2482519.829","1410152.64",NA,NA,NA,"1209064.721"
"392.1365/3624.23",NA,NA,"1330574.591","610131.751","566597.972","973222.061",NA,NA,"1584953.656","554438.311",NA,NA
"393.163/3625.8",NA,NA,"273051.507",NA,NA,"198823.768","431680.535","304225.768","328382.848",NA,NA,"230953.756"
"395.2/3720.48",NA,"421290.991","354284.247",NA,"146232.058","158797.283",NA,"702781.285",NA,"186350.81",NA,"156146.47"
"395.2125/3711.09","420647.605",NA,NA,NA,NA,NA,"263984.712",NA,"230011.656",NA,"177711.298",NA
"396.196/3329.24","212417.291","418476.316",NA,"794110.403","372788.872","603055.047","289612.709","297155.836","428490.414","650558.011","264918.505","614589.585"
"397.1735/3329.24",NA,NA,"133878.117","210330.845","114604.593","162646.818",NA,NA,"118164.481",NA,NA,"183453.995"
"398.2/3343.32",NA,"2909672.143","1885559.466","1376143.44","1441434.458","1130981.8",NA,"2069349.492","1716650.13","1641655.029","1422532.591","1186504.84"
"398.3/4060.07","302032.713","199444.345",NA,"56563.101","100635.107","92674.445",NA,NA,NA,NA,NA,NA
"399.1/2798.72","517279.867",NA,"264044.7","347198.38",NA,NA,"541969.995","103373.511","287810.498",NA,NA,"131298.839"
"400.1/2788.55",NA,"229736.574",NA,NA,NA,NA,"158828.073","187919.742","293209.884","303195.027","247167.668",NA
"400.2/3610.93",NA,NA,NA,"12036678.871","6745245.849","5488584.308",NA,NA,"11628201.484","10756761.955","7160707.132","5289514.721"
"401.1/3329.24",NA,"168282.885","240788.109","363286.882","205112.03",NA,NA,NA,NA,NA,NA,"284150.624"
"401.2/3740.82",NA,"701952.447",NA,NA,NA,NA,"323630.511","3033005.558","4059629.319",NA,NA,NA
"401.2/3610.93",NA,NA,NA,NA,"1834093.608","1589913.285",NA,NA,NA,"2991281.269","1786746.131","1501862.289"
"403.086/2949.74",NA,NA,NA,NA,NA,"86898.235","109363.013","85233.293",NA,NA,NA,"89870.065"
"408.1025/2895.75",NA,"1036989.345",NA,NA,NA,NA,NA,"214166.177",NA,"179523.512","565354.697",NA
"408.1/3444.26","464967.997","573379.773",NA,"233681.464",NA,NA,NA,NA,NA,"146992.376",NA,NA
"408.2/3441.91","108910.26",NA,NA,NA,NA,"231425.982","268866.145",NA,"751128.359",NA,NA,"245023.809"
"410.266/3939.57",NA,"1319875.615","1375014.962",NA,"899985.582","799401.791",NA,NA,"223544.907",NA,NA,NA
"411.23/3934.88","304741.632","426745.765",NA,"304811.059",NA,"275335.275",NA,NA,NA,NA,NA,NA
"412.2895/4110.15","3412993.599",NA,"1679362.235","655969.599","781156.104","594736.338","486799.444",NA,NA,NA,NA,NA
"413.1/3625.8","778922.184","855168.641","665025.144","120558.373","156926.662","327900.844","389790.514",NA,NA,"156450.918","282687.129","330997.88"
"413.295/4114.85","991447.079","626592.407",NA,NA,"230747.928",NA,NA,NA,NA,NA,NA,NA
"414.1955/3061.63","252452.207","352227.449",NA,NA,NA,"276920.272","784648.344","192081.84","258999.619",NA,"169402.106","640714.523"
"416.1/2687.61","439237.663","508248.314",NA,NA,NA,"263207.049","470797.966","408736.973","322456.687","195945.303",NA,"239773.256"
"421.0845/2797.15","156029.947",NA,NA,NA,NA,NA,"140031.229",NA,"92219.374","61164.289",NA,NA
"423.152/3254.12",NA,"255168.616","212710.776","180690.967","191746.741","152861.186",NA,NA,NA,NA,NA,NA
"424.2/3443.48",NA,NA,"1745629.799","961030.38","1348980.002","586789.619",NA,NA,"1673201.434","1562709.029","1547095.938","834756.6"
"425.202/3439.57",NA,NA,NA,"207762.762",NA,NA,NA,NA,"513617.165",NA,"433804.885","258236.606"
"426.1/3017.03","792979.176","843517.44","588996.111","282697.263","231450.98","120684.85","821819.408","919600.632","386864.379","295901.813","318466.789","237842.666"
"426.2/3639.88",NA,NA,NA,"10283077.712","6937764.438","6091112.209",NA,"11438600.296","11182703.104","8906813.727","7670588.814","4852718.306"
"427.2/3623.45",NA,NA,NA,NA,"1855249.204","1754074.859",NA,NA,NA,"2456144.521","2210419.3","1393249.647"
"429.2/3886.36","580907.655","238723.331","574589.75","488037.315","1374609.08","1573595.457","775416.81","3609938.727",NA,"1220814.245","1236769.335","1448950.762"
"430.1/2688.39","1911680.018","2124743.955","2487771.171","3076213.271","2957369.111","3015873.974","2006604.232","1906550.559","2222892.7","2633887.044","2700539.931","3080688.139"
"430.2/3886.36",NA,NA,"193756.39",NA,"443495.875","536046.68","246396.73","1173060.446",NA,"396414.5","422852.62","479482.659"
"430.2/4071.03","398260.315","278948.739","271827.72",NA,NA,NA,NA,NA,NA,NA,NA,NA
"431.105/2687.61","559442.451",NA,"718791.792","910517.598","844283.423","847285.749","589107.862","533617.455","603054.767","757021.326","838407.271","922359.397"
"433.193/3817.5","487331.827","518192.119",NA,NA,"378265.467",NA,"747277.232",NA,"530128.939",NA,"478209.628","555184.445"
"436.197/3625.01","375812.224",NA,NA,NA,NA,"179091.586","383207.742","292975.825","292767.716","80397.456","136055.395","267001.81"
"438.17/3449.74","3472534.68",NA,NA,"2003832.929","2084213.728",NA,"3299908.92",NA,"2944405.639",NA,NA,NA
"438.3/4050.68","1688005.87","886542.593","972109.14","509452.014",NA,"477464.55","167854.075",NA,NA,NA,NA,NA
"439.162/3451.3","865853.723","875625.286",NA,"505118.471",NA,NA,"812861","839774.954",NA,"529271.426","474139.061",NA
"439.3/4049.12","543352.35","290968.556",NA,"172128.239",NA,NA,NA,NA,NA,NA,NA,NA
"440.1775/3474",NA,NA,"346995.081",NA,NA,NA,"452757.013","464760.713",NA,"277043.009","269703.641","254998.711"
"444.1/2687.61",NA,"304396.916",NA,"250968.947","214580.687","225079.872",NA,"238866.837","116900.378",NA,"176842.749","215947.035"
"444.184/2898.88","166816.818","130090.625",NA,NA,NA,NA,"336163.214",NA,NA,NA,"175244.666","116502.289"
"447.2/3870.71","1440194.377","4874466.866","3731989.112","2248041.666","1764225.355","1860855.213","1142399.92","4602424.454","4399067.99","2130744.371","2138575.296","2555248.61"
"448.2/3870.71","480186.859",NA,"1132937.722",NA,NA,"591727.547","506906.856","1432046.086","1418936.497",NA,NA,"809465.563"
"448.2/3440.35",NA,"2336776.523","1348832.764","1175355.33","1012971.603","604947.264",NA,"1578863.861","1632516.193","1098277.488","1078385.138","760159.836"
"449.2/3416.88",NA,NA,NA,NA,"331146.365","168188.985",NA,NA,NA,"343257.411","339099.046","240807.812"
